幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.27000,31.62000,31.60400,31.55600,31.49300,31.43200,31.37100,31.30800,31.24700,本行賣出,31.94000,31.72000,31.70800,31.66400,31.60800,31.55500,31.50200,31.44600,31.39400,
HKD,本行買入,3.88300,4.00900,4.00700,4.00300,3.99800,3.99500,3.98900,3.98400,3.97900,本行賣出,4.08700,4.06900,4.06800,4.06700,4.06400,4.06000,4.05600,4.05200,4.04900,
GBP,本行買入,41.67000,42.68000,42.64500,42.57400,42.48900,42.40800,42.32400,42.24000,42.15600,本行賣出,43.79000,43.08000,43.06300,43.02800,42.94900,42.87200,42.79900,42.72500,42.65200,
AUD,本行買入,22.26000,22.55000,22.52700,22.48000,22.42100,22.36500,22.30900,22.25300,22.19900,本行賣出,23.04000,22.75000,22.73800,22.71500,22.66000,22.60600,22.55500,22.50600,22.45700,
CAD,本行買入,22.33000,22.73000,22.72100,22.70400,22.69000,22.67800,22.66500,22.65200,22.63900,本行賣出,23.24000,22.93000,22.93100,22.93300,22.92300,22.91300,22.90600,22.90000,22.89300,
SGD,本行買入,24.31000,24.80000,24.79400,24.78300,24.78300,24.78800,24.79100,24.79400,24.79700,本行賣出,25.22000,24.98000,24.98800,25.00400,25.00900,25.01500,25.02400,25.03300,25.04300,
CHF,本行買入,38.28000,38.96000,38.97000,38.99000,39.04300,39.10200,39.16000,39.21900,39.27900,本行賣出,39.48000,39.21000,39.23800,39.29400,39.35600,39.41700,39.48700,39.55800,39.63000,
JPY,本行買入,0.18870,0.19600,0.19600,0.19600,0.19600,0.19610,0.19620,0.19630,0.19630,本行賣出,0.20150,0.20000,0.20010,0.20020,0.20030,0.20040,0.20060,0.20070,0.20090,
ZAR,本行買入,0.00000,1.92100,1.91800,1.91200,1.90300,1.89500,1.88700,1.87900,1.87100,本行賣出,0.00000,2.00100,1.99900,1.99500,1.98700,1.97900,1.97100,1.96400,1.95600,
SEK,本行買入,0.00000,3.25000,3.24900,3.24700,3.24600,3.24500,3.24400,3.24300,3.24200,本行賣出,0.00000,3.35000,3.35100,3.35200,3.35100,3.35100,3.35000,3.35000,3.35000,
NZD,本行買入,18.22000,18.60000,18.58800,18.56300,18.53900,18.51700,18.49400,18.47000,18.44600,本行賣出,19.07000,18.80000,18.79900,18.79600,18.77600,18.75600,18.73700,18.71700,18.69800,
THB,本行買入,0.82500,0.93840,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.01500,0.97840,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.44170,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.57370,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,35.90000,36.52000,36.50700,36.48200,36.45100,36.42400,36.39400,36.36300,36.31200,本行賣出,37.24000,36.92000,36.91600,36.90800,36.88400,36.86400,36.84800,36.83100,36.81500,
KRW,本行買入,0.02133,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02523,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00099,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00140,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.81900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.34400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.61300,4.68500,4.68540,4.68610,4.68600,4.68740,4.68850,4.69000,4.69080,本行賣出,4.77500,4.73500,4.73580,4.73750,4.73760,4.73840,4.74050,4.74270,4.74480,
