幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.40000,31.75000,31.73300,31.67400,31.61600,31.55500,31.48700,31.42900,31.36600,本行賣出,32.07000,31.85000,31.83700,31.78200,31.73000,31.67700,31.61600,31.56500,31.50900,
HKD,本行買入,3.90000,4.02600,4.02400,4.02100,4.01700,4.01400,4.00800,4.00200,3.99600,本行賣出,4.10400,4.08600,4.08600,4.08500,4.08100,4.07800,4.07300,4.06900,4.06400,
GBP,本行買入,42.21000,43.22000,43.18400,43.11300,43.02900,42.94900,42.85300,42.75700,42.66100,本行賣出,44.33000,43.62000,43.60000,43.55900,43.47900,43.40000,43.32100,43.24200,43.16200,
AUD,本行買入,22.42000,22.71000,22.68500,22.63500,22.58000,22.52800,22.46700,22.40900,22.35000,本行賣出,23.20000,22.91000,22.89700,22.87100,22.81900,22.76700,22.71400,22.66400,22.61400,
CAD,本行買入,22.56000,22.96000,22.95200,22.93500,22.92300,22.91200,22.89500,22.87800,22.86100,本行賣出,23.47000,23.16000,23.16000,23.15900,23.14900,23.13800,23.13000,23.12100,23.11200,
SGD,本行買入,24.48000,24.97000,24.96800,24.96400,24.96800,24.97500,24.97700,24.97800,24.97900,本行賣出,25.39000,25.15000,25.15700,25.17000,25.17900,25.18600,25.19600,25.20700,25.21700,
CHF,本行買入,38.93000,39.61000,39.62100,39.64300,39.70200,39.76100,39.81600,39.87100,39.92700,本行賣出,40.13000,39.86000,39.88800,39.94300,40.00800,40.06800,40.13800,40.20800,40.27800,
JPY,本行買入,0.19100,0.19830,0.19830,0.19820,0.19830,0.19840,0.19850,0.19850,0.19860,本行賣出,0.20380,0.20230,0.20230,0.20240,0.20260,0.20270,0.20290,0.20300,0.20310,
ZAR,本行買入,0.00000,1.94800,1.94500,1.93800,1.93000,1.92100,1.91200,1.90300,1.89400,本行賣出,0.00000,2.02800,2.02600,2.02100,2.01300,2.00400,1.99600,1.98800,1.98000,
SEK,本行買入,0.00000,3.31000,3.30900,3.30700,3.30700,3.30600,3.30400,3.30200,3.30000,本行賣出,0.00000,3.41000,3.41000,3.41100,3.41000,3.41000,3.41000,3.40900,3.40900,
NZD,本行買入,18.53000,18.91000,18.90000,18.87900,18.85700,18.83700,18.80900,18.78200,18.75400,本行賣出,19.38000,19.11000,19.10800,19.10500,19.08500,19.06500,19.04500,19.02400,19.00400,
THB,本行買入,0.84640,0.95980,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.03640,0.99980,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.44900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.58100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,36.34000,36.96000,36.94400,36.91100,36.87700,36.85100,36.81800,36.78500,36.73100,本行賣出,37.68000,37.36000,37.35200,37.33500,37.31700,37.29800,37.27800,37.25700,37.23600,
KRW,本行買入,0.02127,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02517,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00099,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00140,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.85400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.37900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.63500,4.70700,4.70640,4.70530,4.70590,4.70770,4.70880,4.71020,4.71120,本行賣出,4.79700,4.75700,4.75780,4.75940,4.76100,4.76230,4.76420,4.76610,4.76800,
