幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.27000,31.59500,31.60400,31.55600,31.49300,31.43200,31.37100,31.30800,31.24700,本行賣出,31.94000,31.74500,31.70800,31.66400,31.60800,31.55500,31.50200,31.44600,31.39400,
HKD,本行買入,3.88400,4.00500,4.00700,4.00300,3.99800,3.99500,3.98900,3.98400,3.97900,本行賣出,4.08800,4.07500,4.06800,4.06700,4.06400,4.06000,4.05600,4.05200,4.04900,
GBP,本行買入,41.70000,42.59500,42.64500,42.57400,42.48900,42.40800,42.32400,42.24000,42.15600,本行賣出,43.82000,43.22500,43.06300,43.02800,42.94900,42.87200,42.79900,42.72500,42.65200,
AUD,本行買入,22.24000,22.45500,22.52700,22.48000,22.42100,22.36500,22.30900,22.25300,22.19900,本行賣出,23.02000,22.80000,22.73800,22.71500,22.66000,22.60600,22.55500,22.50600,22.45700,
CAD,本行買入,22.35000,22.68000,22.72100,22.70400,22.69000,22.67800,22.66500,22.65200,22.63900,本行賣出,23.26000,23.01000,22.93100,22.93300,22.92300,22.91300,22.90600,22.90000,22.89300,
SGD,本行買入,24.30000,24.77000,24.79400,24.78300,24.78300,24.78800,24.79100,24.79400,24.79700,本行賣出,25.21000,24.99000,24.98800,25.00400,25.00900,25.01500,25.02400,25.03300,25.04300,
CHF,本行買入,38.32000,38.93000,38.96000,38.98000,39.03300,39.09200,39.15000,39.20900,39.26900,本行賣出,39.52000,39.32000,39.22800,39.28400,39.34600,39.40700,39.47700,39.54800,39.62000,
JPY,本行買入,0.18870,0.19550,0.19600,0.19600,0.19600,0.19610,0.19620,0.19630,0.19630,本行賣出,0.20150,0.20050,0.20010,0.20020,0.20030,0.20040,0.20060,0.20070,0.20090,
ZAR,本行買入,0.00000,1.91600,1.91900,1.91300,1.90400,1.89600,1.88800,1.88000,1.87200,本行賣出,0.00000,2.00600,2.00000,1.99600,1.98800,1.98000,1.97200,1.96500,1.95700,
SEK,本行買入,0.00000,3.25000,3.24900,3.24700,3.24600,3.24500,3.24400,3.24300,3.24200,本行賣出,0.00000,3.37000,3.35100,3.35200,3.35100,3.35100,3.35000,3.35000,3.35000,
NZD,本行買入,18.20000,18.53000,18.57800,18.55300,18.52900,18.50700,18.48400,18.46000,18.43600,本行賣出,19.05000,18.83000,18.78900,18.78600,18.76600,18.74600,18.72700,18.70700,18.68800,
THB,本行買入,0.82430,0.93470,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.01430,0.98070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.44140,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.57340,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00138,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00208,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,35.93000,36.44500,36.50700,36.48200,36.45100,36.42400,36.39400,36.36300,36.31200,本行賣出,37.27000,37.04500,36.91600,36.90800,36.88400,36.86400,36.84800,36.83100,36.81500,
KRW,本行買入,0.02132,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02522,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00097,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00138,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.81700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.34200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.61500,4.68200,4.68540,4.68610,4.68600,4.68740,4.68850,4.69000,4.69080,本行賣出,4.77700,4.74200,4.73580,4.73750,4.73760,4.73840,4.74050,4.74270,4.74480,
