幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.32000,31.67000,31.65500,31.60800,31.53900,31.47800,31.40800,31.33700,31.27800,本行賣出,31.99000,31.77000,31.75900,31.71700,31.65700,31.60200,31.54000,31.47900,31.42800,
HKD,本行買入,3.88800,4.01400,4.01200,4.00800,4.00300,4.00000,3.99400,3.98900,3.98400,本行賣出,4.09200,4.07400,4.07300,4.07200,4.06900,4.06500,4.06100,4.05700,4.05400,
GBP,本行買入,41.64000,42.65000,42.61500,42.54400,42.45900,42.37800,42.29400,42.21000,42.12600,本行賣出,43.76000,43.05000,43.03300,42.99800,42.91900,42.84200,42.76900,42.69500,42.62200,
AUD,本行買入,22.28000,22.57000,22.54700,22.50000,22.44100,22.38500,22.32900,22.27300,22.21900,本行賣出,23.06000,22.77000,22.75800,22.73500,22.68000,22.62600,22.57500,22.52600,22.47700,
CAD,本行買入,22.37000,22.77000,22.76100,22.74400,22.73000,22.71800,22.70500,22.69200,22.67900,本行賣出,23.28000,22.97000,22.97100,22.97300,22.96300,22.95300,22.94600,22.94000,22.93300,
SGD,本行買入,24.42000,24.91000,24.90400,24.89300,24.89300,24.89800,24.90100,24.90400,24.90700,本行賣出,25.33000,25.09000,25.09800,25.11400,25.11900,25.12500,25.13400,25.14300,25.15300,
CHF,本行買入,37.95000,38.63000,38.64000,38.66000,38.71300,38.77200,38.83000,38.88900,38.94900,本行賣出,39.15000,38.88000,38.90800,38.96400,39.02600,39.08700,39.15700,39.22800,39.30000,
JPY,本行買入,0.19670,0.20400,0.20400,0.20400,0.20410,0.20420,0.20420,0.20430,0.20440,本行賣出,0.20950,0.20800,0.20810,0.20820,0.20830,0.20840,0.20860,0.20870,0.20890,
ZAR,本行買入,0.00000,1.91900,1.91600,1.91000,1.90100,1.89300,1.88500,1.87700,1.86900,本行賣出,0.00000,1.99900,1.99700,1.99300,1.98500,1.97700,1.96900,1.96200,1.95400,
SEK,本行買入,0.00000,3.21000,3.20900,3.20700,3.20600,3.20500,3.20400,3.20300,3.20200,本行賣出,0.00000,3.31000,3.31100,3.31200,3.31100,3.31100,3.31000,3.31000,3.31000,
NZD,本行買入,17.87000,18.25000,18.23800,18.21300,18.18900,18.16700,18.14400,18.12000,18.09600,本行賣出,18.72000,18.45000,18.44900,18.44600,18.42600,18.40600,18.38700,18.36700,18.34800,
THB,本行買入,0.82800,0.94140,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.01800,0.98140,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.43870,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.57070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,35.89000,36.51000,36.49700,36.47000,36.43800,36.40700,36.37000,36.33300,36.27400,本行賣出,37.23000,36.91000,36.90600,36.89900,36.87300,36.85100,36.82800,36.80500,36.78300,
KRW,本行買入,0.02187,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02577,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00141,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.76300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.28800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.63200,4.70400,4.70380,4.70350,4.70520,4.70640,4.70770,4.70940,4.71030,本行賣出,4.79400,4.75400,4.75480,4.75650,4.75800,4.75900,4.76120,4.76340,4.76560,
