幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.54500,31.87000,31.87900,31.82700,31.76700,31.70400,31.64200,31.58100,31.51400,本行賣出,32.21500,32.02000,31.98300,31.93500,31.88200,31.82600,31.77100,31.71700,31.65900,
HKD,本行買入,3.91700,4.03800,4.04000,4.03700,4.03300,4.03000,4.02400,4.01800,4.01200,本行賣出,4.12100,4.10800,4.10200,4.10100,4.09700,4.09400,4.08900,4.08500,4.08000,
GBP,本行買入,42.02000,42.91500,42.99400,42.92300,42.83900,42.75900,42.66300,42.56700,42.47100,本行賣出,44.14000,43.54500,43.41000,43.36900,43.28900,43.21000,43.13100,43.05200,42.97200,
AUD,本行買入,22.33000,22.54500,22.55500,22.50500,22.45000,22.39800,22.33700,22.27900,22.22000,本行賣出,23.11000,22.89000,22.76700,22.74100,22.68900,22.63700,22.58400,22.53400,22.48400,
CAD,本行買入,22.55000,22.88000,22.93200,22.91500,22.90300,22.89200,22.87500,22.85800,22.84100,本行賣出,23.46000,23.21000,23.14000,23.13900,23.12900,23.11800,23.11000,23.10100,23.09200,
SGD,本行買入,24.43000,24.90000,24.90800,24.90400,24.90800,24.91500,24.91700,24.91800,24.91900,本行賣出,25.34000,25.12000,25.09700,25.11000,25.11900,25.12600,25.13600,25.14700,25.15700,
CHF,本行買入,38.54000,39.15000,39.25100,39.27300,39.33200,39.39100,39.44600,39.50100,39.55700,本行賣出,39.74000,39.54000,39.51800,39.57300,39.63800,39.69800,39.76800,39.83800,39.90800,
JPY,本行買入,0.19090,0.19770,0.19810,0.19810,0.19820,0.19830,0.19840,0.19850,0.19850,本行賣出,0.20370,0.20270,0.20220,0.20230,0.20240,0.20260,0.20270,0.20290,0.20310,
ZAR,本行買入,0.00000,1.92400,1.92100,1.91400,1.90600,1.89700,1.88800,1.87900,1.87000,本行賣出,0.00000,2.01400,2.00200,1.99700,1.98900,1.98000,1.97200,1.96400,1.95600,
SEK,本行買入,0.00000,3.30000,3.30900,3.30700,3.30700,3.30600,3.30400,3.30200,3.30000,本行賣出,0.00000,3.42000,3.41000,3.41100,3.41000,3.41000,3.41000,3.40900,3.40900,
NZD,本行買入,18.32000,18.65000,18.66000,18.63900,18.61700,18.59700,18.56900,18.54200,18.51400,本行賣出,19.17000,18.95000,18.86800,18.86500,18.84500,18.82500,18.80500,18.78400,18.76400,
THB,本行買入,0.83800,0.94840,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.02800,0.99440,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.45110,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.58310,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00138,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00208,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,36.18000,36.69500,36.75700,36.73000,36.69900,36.67000,36.63900,36.60700,36.55600,本行賣出,37.52000,37.29500,37.16600,37.15700,37.13200,37.11300,37.09400,37.07600,37.05700,
KRW,本行買入,0.02091,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02481,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00098,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00139,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.84500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.37000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.64000,4.70700,4.70990,4.70980,4.71130,4.71290,4.71390,4.71540,4.71610,本行賣出,4.80200,4.76700,4.76050,4.76160,4.76290,4.76400,4.76600,4.76790,4.76980,
